seq,send_timestamp,out_size_b,recv_timestamp,in_size_b
81.0,1603319488.635995,122.0,1603319488.63799,72.0
82.0,1603319488.6679094,122.0,1603319488.668912,72.0
83.0,1603319488.6998136,122.0,1603319488.7017877,72.0
84.0,1603319488.7316878,122.0,1603319488.7330446,72.0
85.0,1603319488.7612839,122.0,1603319488.7622638,72.0
86.0,1603319488.7931826,122.0,1603319488.7961524,72.0
87.0,1603319488.8241098,122.0,1603319488.8260732,72.0
88.0,1603319488.8550262,122.0,1603319488.8569908,72.0
89.0,1603319488.8869593,122.0,1603319488.8893719,72.0
90.0,1603319488.9181435,122.0,1603319488.9230914,72.0
91.0,1603319488.9480233,122.0,1603319488.9510157,72.0
92.0,1603319488.9799693,122.0,1603319488.9829302,72.0
93.0,1603319489.0118906,122.0,1603319489.0148456,72.0
94.0,1603319489.0444822,122.0,1603319489.0454814,72.0
95.0,1603319489.0758715,122.0,1603319489.0814466,72.0
96.0,1603319489.0909796,122.0,1603319489.0939689,72.0
97.0,1603319489.120933,122.0,1603319489.121895,72.0
98.0,1603319489.1528485,122.0,1603319489.15381,72.0
99.0,1603319489.1847584,122.0,1603319489.1857247,72.0
100.0,1603319489.2146473,122.0,1603319489.2156446,72.0
101.0,1603319489.2447972,122.0,1603319489.2467902,72.0
102.0,1603319489.2757676,122.0,1603319489.2767656,72.0
103.0,1603319489.3076825,122.0,1603319489.3086798,72.0
104.0,1603319489.3395972,122.0,1603319489.3405945,72.0
105.0,1603319489.3715115,122.0,1603319489.3725097,72.0
106.0,1603319489.4032764,122.0,1603319489.4037888,72.0
107.0,1603319489.4337897,122.0,1603319489.4347856,72.0
108.0,1603319489.465719,122.0,1603319489.466718,72.0
109.0,1603319489.497634,122.0,1603319489.4986317,72.0
110.0,1603319489.5295484,122.0,1603319489.5305455,72.0
111.0,1603319489.5604658,122.0,1603319489.5614643,72.0
112.0,1603319489.591383,122.0,1603319489.5923798,72.0
113.0,1603319489.6223,122.0,1603319489.6242955,72.0
114.0,1603319489.6529734,122.0,1603319489.6539707,72.0
115.0,1603319489.6837497,122.0,1603319489.684747,72.0
116.0,1603319489.715698,122.0,1603319489.7176595,72.0
117.0,1603319489.746582,122.0,1603319489.7485769,72.0
118.0,1603319489.7775307,122.0,1603319489.7804916,72.0
119.0,1603319489.8083508,122.0,1603319489.8093517,72.0
120.0,1603319489.84079,122.0,1603319489.845774,72.0
121.0,1603319489.870709,122.0,1603319489.8727021,72.0
122.0,1603319489.9026222,122.0,1603319489.9036207,72.0
123.0,1603319489.9330297,122.0,1603319489.9340305,72.0
124.0,1603319489.9634297,122.0,1603319489.9644303,72.0
125.0,1603319489.994351,122.0,1603319489.9953496,72.0
126.0,1603319490.0263,122.0,1603319490.027264,72.0
127.0,1603319490.057585,122.0,1603319490.0605755,72.0
128.0,1603319490.0879245,123.0,1603319490.0898883,73.0
129.0,1603319490.1188107,123.0,1603319490.119808,73.0
130.0,1603319490.1515038,123.0,1603319490.1534984,73.0
131.0,1603319490.182715,123.0,1603319490.1846993,73.0
132.0,1603319490.2126226,123.0,1603319490.2156153,73.0
133.0,1603319490.2435749,123.0,1603319490.2455637,73.0
134.0,1603319490.2748647,123.0,1603319490.27686,73.0
135.0,1603319490.3067796,123.0,1603319490.3087745,73.0
136.0,1603319490.3377256,123.0,1603319490.34069,73.0
137.0,1603319490.3700478,123.0,1603319490.372038,73.0
138.0,1603319490.4007347,123.0,1603319490.404729,73.0
139.0,1603319490.431682,123.0,1603319490.433677,73.0
140.0,1603319490.4627695,123.0,1603319490.4647646,73.0
141.0,1603319490.4937482,123.0,1603319490.4946847,73.0
142.0,1603319490.5256014,123.0,1603319490.5275965,73.0
143.0,1603319490.5575762,123.0,1603319490.5585737,73.0
144.0,1603319490.5887487,123.0,1603319490.5897467,73.0
145.0,1603319490.6186688,123.0,1603319490.619666,73.0
146.0,1603319490.649586,123.0,1603319490.6515808,73.0
147.0,1603319490.6815345,123.0,1603319490.6834967,73.0
148.0,1603319490.7134361,123.0,1603319490.7164092,73.0
149.0,1603319490.744918,123.0,1603319490.746913,73.0
150.0,1603319490.7758696,123.0,1603319490.7778618,73.0
151.0,1603319490.806784,123.0,1603319490.8097446,73.0
152.0,1603319490.838699,123.0,1603319490.8416588,73.0
153.0,1603319490.8690088,123.0,1603319490.8714144,73.0
154.0,1603319490.900991,123.0,1603319490.9038165,73.0
155.0,1603319490.9317315,123.0,1603319490.934695,73.0
156.0,1603319490.963751,123.0,1603319490.9656117,73.0
157.0,1603319490.9945657,123.0,1603319490.997527,73.0
158.0,1603319491.024493,123.0,1603319491.0274463,73.0
159.0,1603319491.0566292,123.0,1603319491.059879,73.0
160.0,1603319491.088451,123.0,1603319491.0944602,73.0
161.0,1603319491.1034367,123.0,1603319491.1044028,73.0
162.0,1603319491.1353195,123.0,1603319491.1373146,73.0
163.0,1603319491.1672695,123.0,1603319491.1702256,73.0
164.0,1603319491.1991804,123.0,1603319491.2021406,73.0
165.0,1603319491.2315059,123.0,1603319491.2354944,73.0
166.0,1603319491.2626476,123.0,,
167.0,1603319491.2916017,123.0,,
168.0,1603319491.3235142,123.0,,
169.0,1603319491.3554287,123.0,,
170.0,1603319491.3871973,123.0,,
171.0,1603319491.4188828,123.0,,
172.0,1603319491.4507692,123.0,,
173.0,1603319491.4826841,123.0,,
174.0,1603319491.514625,123.0,,
175.0,1603319491.5465395,123.0,,
176.0,1603319491.5777977,123.0,,
177.0,1603319491.6097975,123.0,,
178.0,1603319491.6417258,123.0,,
179.0,1603319491.6737056,123.0,,
180.0,1603319491.7055554,123.0,,
181.0,1603319491.736473,123.0,,
182.0,1603319491.76746,123.0,,
183.0,1603319491.7987561,123.0,,
184.0,1603319491.830702,123.0,,
185.0,1603319491.862617,123.0,,
186.0,1603319491.8945,123.0,,
187.0,1603319491.9257147,123.0,,
188.0,1603319491.9577916,123.0,,
189.0,1603319491.9897423,123.0,,
190.0,1603319492.021657,123.0,,
191.0,1603319492.0535717,123.0,,
192.0,1603319492.0856166,123.0,,
193.0,1603319492.1174545,123.0,,
194.0,1603319492.1478043,123.0,,
195.0,1603319492.1797237,123.0,,
196.0,1603319492.2106411,123.0,,
197.0,1603319492.2415557,123.0,,
198.0,1603319492.2735097,123.0,,
199.0,1603319492.3047523,123.0,,
200.0,1603319492.3346944,123.0,,
201.0,1603319492.3666093,123.0,,
202.0,1603319492.3975353,123.0,,
203.0,1603319492.4288847,123.0,,
204.0,1603319492.4594574,123.0,,
205.0,1603319492.4898927,123.0,,
206.0,1603319492.5218074,123.0,,
207.0,1603319492.5554264,123.0,,
208.0,1603319492.5836453,123.0,,
209.0,1603319492.6146002,123.0,,
210.0,1603319492.6459427,123.0,,
211.0,1603319492.677437,123.0,,
212.0,1603319492.7073052,123.0,,
213.0,1603319492.7382197,123.0,,
214.0,1603319492.7685962,123.0,,
215.0,1603319492.8007967,123.0,,
216.0,1603319492.832714,123.0,,
217.0,1603319492.8646286,123.0,,
218.0,1603319492.8957925,123.0,,
219.0,1603319492.927768,123.0,,
220.0,1603319492.9586852,123.0,,
221.0,1603319492.9899876,123.0,,
222.0,1603319493.0207913,123.0,,
223.0,1603319493.0527616,123.0,,
224.0,1603319493.0846763,123.0,,
225.0,1603319493.1157987,123.0,,
226.0,1603319493.1477966,123.0,,
227.0,1603319493.1787288,123.0,,
228.0,1603319493.2086494,123.0,,
229.0,1603319493.2409964,123.0,,
230.0,1603319493.2711086,123.0,,
231.0,1603319493.301999,123.0,,
232.0,1603319493.3346944,123.0,,
233.0,1603319493.3646977,123.0,,
234.0,1603319493.3956625,123.0,,
235.0,1603319493.427577,123.0,,
236.0,1603319493.4578285,123.0,,
237.0,1603319493.4889185,123.0,,
238.0,1603319493.5188375,123.0,,
239.0,1603319493.5507922,123.0,,
240.0,1603319493.5820022,123.0,,
241.0,1603319493.6142852,123.0,,
242.0,1603319493.643303,123.0,,
243.0,1603319493.675403,123.0,,
244.0,1603319493.7055516,123.0,,
245.0,1603319493.7382019,123.0,,
246.0,1603319493.7686884,123.0,,
247.0,1603319493.8001323,123.0,,
248.0,1603319493.831053,123.0,,
249.0,1603319493.8628778,123.0,,
250.0,1603319493.8936353,123.0,,
251.0,1603319493.9249885,123.0,,
252.0,1603319493.955419,123.0,,
253.0,1603319493.9875731,123.0,,
254.0,1603319494.0192394,123.0,,
255.0,1603319494.049786,123.0,,
256.0,1603319494.0804894,124.0,,
257.0,1603319494.1114123,124.0,,
258.0,1603319494.1423051,124.0,,
259.0,1603319494.1735754,124.0,,
260.0,1603319494.2064483,124.0,,
261.0,1603319494.23622,124.0,,
262.0,1603319494.2689118,124.0,,
263.0,1603319494.2987957,124.0,,
264.0,1603319494.3307972,124.0,,
265.0,1603319494.362789,124.0,,
266.0,1603319494.393804,124.0,,
267.0,1603319494.4257977,124.0,,
268.0,1603319494.4578528,124.0,,
269.0,1603319494.4885147,124.0,,
270.0,1603319494.518794,124.0,,
271.0,1603319494.548792,124.0,,
272.0,1603319494.5807972,124.0,,
273.0,1603319494.61279,124.0,,
274.0,1603319494.6428015,124.0,,
275.0,1603319494.6739528,124.0,,
276.0,1603319494.704254,124.0,,
277.0,1603319494.734566,124.0,,
278.0,1603319494.7647996,124.0,,
279.0,1603319494.796277,124.0,,
280.0,1603319494.827621,124.0,,
281.0,1603319494.858446,124.0,,
282.0,1603319494.8897707,124.0,,
283.0,1603319494.9214919,124.0,,
284.0,1603319494.9526315,124.0,,
285.0,1603319494.9835114,124.0,,
286.0,1603319495.0148818,124.0,,
287.0,1603319495.044992,124.0,,
288.0,1603319495.0764582,124.0,,
289.0,1603319495.1067886,124.0,,
290.0,1603319495.1381829,124.0,,
291.0,1603319495.1700346,124.0,,
292.0,1603319495.2018244,124.0,,
293.0,1603319495.231799,124.0,,
294.0,1603319495.2638035,124.0,,
295.0,1603319495.2960932,124.0,,
296.0,1603319495.3267682,124.0,,
297.0,1603319495.3576858,124.0,,
298.0,1603319495.3897486,124.0,,
299.0,1603319495.4210126,124.0,,
300.0,1603319495.4531846,124.0,,
301.0,1603319495.4851468,124.0,,
302.0,1603319495.5152173,124.0,,
303.0,1603319495.5473473,124.0,,
304.0,1603319495.5787628,124.0,,
305.0,1603319495.6097026,124.0,,
306.0,1603319495.6395812,124.0,,
307.0,1603319495.6727178,124.0,,
308.0,1603319495.7027047,124.0,,
309.0,1603319495.7340913,124.0,,
310.0,1603319495.7665563,124.0,,
311.0,1603319495.796767,124.0,,
312.0,1603319495.826683,124.0,,
313.0,1603319495.8566031,124.0,,
314.0,1603319495.8885179,124.0,,
315.0,1603319495.9199965,124.0,,
316.0,1603319495.9508014,124.0,,
317.0,1603319495.982546,124.0,,
318.0,1603319496.0145602,124.0,,
319.0,1603319496.0453534,124.0,,
320.0,1603319496.0772688,124.0,,
321.0,1603319496.109323,124.0,,
322.0,1603319496.139875,124.0,,
323.0,1603319496.1717885,124.0,,
324.0,1603319496.2037346,124.0,,
325.0,1603319496.234689,124.0,,
326.0,1603319496.2645802,124.0,,
327.0,1603319496.2957442,124.0,,
328.0,1603319496.3261817,124.0,,
329.0,1603319496.3570583,124.0,,
330.0,1603319496.3890038,124.0,,
331.0,1603319496.4209182,124.0,,
332.0,1603319496.4513237,124.0,,
333.0,1603319496.4830446,124.0,,
334.0,1603319496.512151,124.0,,
335.0,1603319496.543055,124.0,,
