seq,in_size_b,out_size_b,recv_timestamp,process_time,send_timestamp
211.0,123.0,73.0,1602836234.7295933,0.0006761550903320312,1602836234.7302694
212.0,123.0,73.0,1602836234.7423992,0.0006778240203857422,1602836234.743077
213.0,123.0,73.0,1602836234.7551372,0.0006799697875976562,1602836234.7558172
214.0,123.0,73.0,1602836234.7676198,0.0006275177001953125,1602836234.7682474
215.0,123.0,73.0,1602836234.7801275,0.0006780624389648438,1602836234.7808056
216.0,123.0,73.0,1602836234.792584,0.0006780624389648438,1602836234.793262
217.0,123.0,73.0,1602836234.8054001,0.0006773471832275391,1602836234.8060775
218.0,123.0,73.0,1602836234.817925,0.0007042884826660156,1602836234.8186293
219.0,123.0,73.0,1602836234.8302639,0.0006821155548095703,1602836234.830946
220.0,123.0,73.0,1602836234.842945,0.0006821155548095703,1602836234.8436272
221.0,123.0,73.0,1602836234.8557653,0.0006768703460693359,1602836234.8564422
222.0,123.0,73.0,1602836234.868565,0.0006792545318603516,1602836234.8692443
223.0,123.0,73.0,1602836234.8810868,0.0006983280181884766,1602836234.8817852
224.0,123.0,73.0,1602836234.8935893,0.0006740093231201172,1602836234.8942633
225.0,123.0,73.0,1602836234.9059677,0.0006804466247558594,1602836234.9066482
226.0,123.0,73.0,1602836234.9188259,0.0006787776947021484,1602836234.9195046
227.0,123.0,73.0,1602836234.931568,0.0006847381591796875,1602836234.9322526
228.0,123.0,73.0,1602836234.9438994,0.0006897449493408203,1602836234.9445891
229.0,123.0,73.0,1602836234.9563355,0.0006756782531738281,1602836234.9570112
230.0,123.0,73.0,1602836234.969137,0.0006814002990722656,1602836234.9698184
231.0,123.0,73.0,1602836234.9819462,0.00067901611328125,1602836234.9826252
232.0,123.0,73.0,1602836234.994444,0.0007023811340332031,1602836234.9951463
233.0,123.0,73.0,1602836235.007427,0.0007140636444091797,1602836235.008141
234.0,123.0,73.0,1602836235.0195978,0.0006923675537109375,1602836235.0202901
235.0,123.0,73.0,1602836235.0324092,0.0006740093231201172,1602836235.0330832
236.0,123.0,73.0,1602836235.0452254,0.0006794929504394531,1602836235.0459049
237.0,123.0,73.0,1602836235.057566,0.0006260871887207031,1602836235.058192
238.0,123.0,73.0,1602836235.0700896,0.0006778240203857422,1602836235.0707674
239.0,123.0,73.0,1602836235.0826406,0.0006771087646484375,1602836235.0833178
240.0,123.0,73.0,1602836235.0954952,0.0006809234619140625,1602836235.0961761
241.0,123.0,73.0,1602836235.108192,0.0006775856018066406,1602836235.1088696
242.0,123.0,73.0,1602836235.120796,0.0007190704345703125,1602836235.121515
243.0,123.0,73.0,1602836235.1332695,0.0006804466247558594,1602836235.13395
244.0,123.0,73.0,1602836235.1459463,0.0006778240203857422,1602836235.146624
245.0,123.0,73.0,1602836235.1587632,0.0006785392761230469,1602836235.1594417
246.0,123.0,73.0,1602836235.1711073,0.0005233287811279297,1602836235.1716306
247.0,123.0,73.0,1602836235.1836576,0.0006756782531738281,1602836235.1843333
248.0,123.0,73.0,1602836235.1963334,0.0006775856018066406,1602836235.197011
249.0,123.0,73.0,1602836235.2088785,0.0006780624389648438,1602836235.2095566
250.0,123.0,73.0,1602836235.2216947,0.0006794929504394531,1602836235.2223742
251.0,123.0,73.0,1602836235.2341812,0.0006649494171142578,1602836235.234846
252.0,123.0,73.0,1602836235.2466974,0.0006787776947021484,1602836235.2473762
253.0,123.0,73.0,1602836235.2592509,0.0006821155548095703,1602836235.259933
254.0,123.0,73.0,1602836235.2720704,0.00067901611328125,1602836235.2727494
255.0,123.0,73.0,1602836235.2846177,0.0007078647613525391,1602836235.2853255
256.0,124.0,74.0,1602836235.2974741,0.0007367134094238281,1602836235.2982109
257.0,124.0,74.0,1602836235.3100762,0.0006821155548095703,1602836235.3107584
258.0,124.0,74.0,1602836235.322672,0.0006780624389648438,1602836235.32335
259.0,124.0,74.0,1602836235.3354776,0.0006768703460693359,1602836235.3361545
260.0,124.0,74.0,1602836235.3482969,0.0006783008575439453,1602836235.3489752
261.0,124.0,74.0,1602836235.3606257,0.0007181167602539062,1602836235.3613439
262.0,124.0,74.0,1602836235.3730624,0.0006785392761230469,1602836235.373741
263.0,124.0,74.0,1602836235.3858886,0.0006773471832275391,1602836235.386566
264.0,124.0,74.0,1602836235.3987136,0.0006778240203857422,1602836235.3993914
265.0,124.0,74.0,1602836235.4110365,0.0006215572357177734,1602836235.411658
266.0,124.0,74.0,1602836235.4233723,0.0006527900695800781,1602836235.424025
267.0,124.0,74.0,1602836235.4359243,0.0006620883941650391,1602836235.4365864
268.0,124.0,74.0,1602836235.4487069,0.0006756782531738281,1602836235.4493825
269.0,124.0,74.0,1602836235.4614456,0.0006811618804931641,1602836235.4621267
270.0,124.0,74.0,1602836235.4740238,0.0007021427154541016,1602836235.474726
271.0,124.0,74.0,1602836235.4864388,0.0006775856018066406,1602836235.4871163
272.0,124.0,74.0,1602836235.4992158,0.0006768703460693359,1602836235.4998927
273.0,124.0,74.0,1602836235.5120041,0.0006473064422607422,1602836235.5126514
274.0,124.0,74.0,1602836235.524747,0.0006780624389648438,1602836235.525425
275.0,124.0,74.0,1602836235.5372283,0.0006849765777587891,1602836235.5379133
276.0,124.0,74.0,1602836235.5496266,0.0006287097930908203,1602836235.5502553
277.0,124.0,74.0,1602836235.5623953,0.0006301403045654297,1602836235.5630255
278.0,124.0,74.0,1602836235.575648,0.0006248950958251953,1602836235.576273
279.0,124.0,74.0,1602836235.5883753,0.0005986690521240234,1602836235.588974
280.0,124.0,74.0,1602836235.6010711,0.0006318092346191406,1602836235.601703
281.0,124.0,74.0,1602836235.6135466,0.0006031990051269531,1602836235.6141498
282.0,124.0,74.0,1602836235.626087,0.0006022453308105469,1602836235.6266892
283.0,124.0,74.0,1602836235.6388304,0.0006003379821777344,1602836235.6394308
284.0,124.0,74.0,1602836235.6515934,0.0006067752838134766,1602836235.6522002
285.0,124.0,74.0,1602836235.6641877,0.0006406307220458984,1602836235.6648283
286.0,124.0,74.0,1602836235.6766782,0.0006031990051269531,1602836235.6772814
287.0,124.0,74.0,1602836235.6891828,0.000606536865234375,1602836235.6897893
288.0,124.0,74.0,1602836235.7019513,0.0006031990051269531,1602836235.7025545
289.0,124.0,74.0,1602836235.7146919,0.0006015300750732422,1602836235.7152934
290.0,124.0,74.0,1602836235.727116,0.0006036758422851562,1602836235.7277198
291.0,124.0,74.0,1602836235.7395253,0.0006017684936523438,1602836235.740127
292.0,124.0,74.0,1602836235.752284,0.0006091594696044922,1602836235.7528932
293.0,124.0,74.0,1602836235.7650914,0.0006051063537597656,1602836235.7656965
294.0,124.0,74.0,1602836235.7777948,0.0006327629089355469,1602836235.7784276
295.0,124.0,74.0,1602836235.7902205,0.0005984306335449219,1602836235.790819
296.0,124.0,74.0,1602836235.802684,0.000598907470703125,1602836235.803283
297.0,124.0,74.0,1602836235.8154597,0.0005991458892822266,1602836235.8160589
298.0,124.0,74.0,1602836235.828212,0.0006031990051269531,1602836235.8288152
299.0,124.0,74.0,1602836235.8408127,0.0006234645843505859,1602836235.8414361
300.0,124.0,74.0,1602836235.8532455,0.000621795654296875,1602836235.8538673
301.0,124.0,74.0,1602836235.8659995,0.0006039142608642578,1602836235.8666034
302.0,124.0,74.0,1602836235.8787916,0.0006029605865478516,1602836235.8793945
303.0,124.0,74.0,1602836235.8916352,0.0006048679351806641,1602836235.89224
304.0,124.0,74.0,1602836235.9033313,0.00024366378784179688,1602836235.903575
305.0,124.0,74.0,1602836235.914536,0.0003085136413574219,1602836235.9148445
306.0,124.0,74.0,1602836235.926037,0.0003628730773925781,1602836235.9264
307.0,124.0,74.0,1602836235.9387937,0.0006070137023925781,1602836235.9394007
308.0,124.0,74.0,1602836235.9516044,0.0006017684936523438,1602836235.9522061
309.0,124.0,74.0,1602836235.9640841,0.0006265640258789062,1602836235.9647107
310.0,124.0,74.0,1602836235.9763274,0.0006000995635986328,1602836235.9769275
311.0,124.0,74.0,1602836235.9891312,0.0006041526794433594,1602836235.9897354
312.0,124.0,74.0,1602836236.0019374,0.0006039142608642578,1602836236.0025413
313.0,124.0,74.0,1602836236.0147383,0.0006067752838134766,1602836236.015345
314.0,124.0,74.0,1602836236.0272286,0.0006055831909179688,1602836236.0278342
315.0,124.0,74.0,1602836236.0395687,0.0006062984466552734,1602836236.040175
316.0,124.0,74.0,1602836236.0523624,0.0006046295166015625,1602836236.052967
317.0,124.0,74.0,1602836236.0651486,0.0006053447723388672,1602836236.065754
318.0,124.0,74.0,1602836236.0779145,0.0006339550018310547,1602836236.0785484
319.0,124.0,74.0,1602836236.0904367,0.0006074905395507812,1602836236.0910442
320.0,124.0,74.0,1602836236.1028917,0.0006062984466552734,1602836236.103498
321.0,124.0,74.0,1602836236.1156943,0.0006091594696044922,1602836236.1163034
322.0,124.0,74.0,1602836236.1284857,0.00060272216796875,1602836236.1290884
323.0,124.0,74.0,1602836236.1417434,0.0006012916564941406,1602836236.1423447
324.0,124.0,74.0,1602836236.1544209,0.0005505084991455078,1602836236.1549714
325.0,124.0,74.0,1602836236.1669102,0.0006031990051269531,1602836236.1675134
326.0,124.0,74.0,1602836236.1794941,0.0006055831909179688,1602836236.1800997
327.0,124.0,74.0,1602836236.1922994,0.0006043910980224609,1602836236.1929038
328.0,124.0,74.0,1602836236.2050734,0.0006008148193359375,1602836236.2056742
329.0,124.0,74.0,1602836236.217782,0.0006282329559326172,1602836236.2184103
330.0,124.0,74.0,1602836236.2302005,0.0006036758422851562,1602836236.2308042
331.0,124.0,74.0,1602836236.2427726,0.0006034374237060547,1602836236.243376
332.0,124.0,74.0,1602836236.255538,0.0006051063537597656,1602836236.256143
333.0,124.0,74.0,1602836236.2682934,0.0006206035614013672,1602836236.268914
334.0,124.0,74.0,1602836236.2809916,0.0006508827209472656,1602836236.2816424
335.0,124.0,74.0,1602836236.2934191,0.0006058216094970703,1602836236.294025
336.0,124.0,74.0,1602836236.305918,0.0006020069122314453,1602836236.30652
337.0,124.0,74.0,1602836236.3186882,0.0006055831909179688,1602836236.3192937
338.0,124.0,74.0,1602836236.3314738,0.0005996227264404297,1602836236.3320735
339.0,124.0,74.0,1602836236.3441017,0.0006470680236816406,1602836236.3447487
340.0,124.0,74.0,1602836236.3563154,0.0006058216094970703,1602836236.3569212
341.0,124.0,74.0,1602836236.3690867,0.0006191730499267578,1602836236.369706
342.0,124.0,74.0,1602836236.3818407,0.0006048679351806641,1602836236.3824456
343.0,124.0,74.0,1602836236.3946042,0.0006206035614013672,1602836236.3952248
344.0,124.0,74.0,1602836236.4070327,0.0005979537963867188,1602836236.4076307
345.0,124.0,74.0,1602836236.4194496,0.0005993843078613281,1602836236.420049
346.0,124.0,74.0,1602836236.4325247,0.0005979537963867188,1602836236.4331226
347.0,124.0,74.0,1602836236.4452643,0.0005979537963867188,1602836236.4458623
348.0,124.0,74.0,1602836236.4580219,0.0006058216094970703,1602836236.4586277
349.0,124.0,74.0,1602836236.4706717,0.0006015300750732422,1602836236.4712732
350.0,124.0,74.0,1602836236.4830565,0.0005998611450195312,1602836236.4836564
351.0,124.0,74.0,1602836236.4958398,0.0006039142608642578,1602836236.4964437
