timestamp,sens_position_raw,sens_position_proc,sens_speed_raw,sens_speed_proc,sens_angle_raw,sens_angle_proc,sens_ang_vel_raw,sens_ang_vel_proc,act_force_raw,act_force_proc
1603319486.8078754,-0.03182242298568281,-0.03182242298568281,-0.6386759599387919,-0.6386759599387919,-0.05272649763864041,-0.05272649763864041,-1.0730016743680286,-1.0730016743680286,,
1603319486.823833,-0.032780436925590996,,-0.6360427018926922,,-0.05433600015019245,,-1.069990521191043,,0.9135416406928112,0.9135416406928112
1603319486.8397906,-0.0337981052486193,-0.0337981052486193,-0.6332439080180027,-0.6332439080180027,-0.05604798498409812,-0.05604798498409812,-1.0668394796768064,-1.0668394796768064,,
1603319486.8547502,-0.034811295501448104,,-0.6295058574794999,,-0.05775492815158101,,-1.0621911338798364,,1.212132446323631,1.212132446323631
1603319486.870708,-0.03575555428766736,-0.03575555428766736,-0.6260103308598085,-0.6260103308598085,-0.059348214852400764,-0.059348214852400764,-1.057887261023655,-1.057887261023655,,
1603319486.8866649,-0.03675717081704305,,-0.6213967909375585,,-0.061040834470038614,,-1.0518885036835823,,1.4937062802606942,1.4937062802606942
1603319486.9016252,-0.037689266003449386,-0.037689266003449386,-0.6170805386086362,-0.6170805386086362,-0.06261866722556399,-0.06261866722556399,-1.046317934957229,-1.046317934957229,,
1603319486.9175825,-0.0386765948652232,,-0.6116442362640435,,-0.06429277592149556,,-1.0390548236875363,,1.758762507484258,1.758762507484258
1603319486.93354,-0.03965522564324567,-0.03965522564324567,-0.6062181214587966,-0.6062181214587966,-0.06595526363939562,-0.06595526363939562,-1.0318518315404261,-1.0318518315404261,,
1603319486.9494975,-0.040564552825433864,,-0.6003739787424835,,-0.06750304138670626,,-1.023895763607938,,2.015921309759049,2.015921309759049
1603319486.9654546,-0.04152515119142184,-0.04152515119142184,-0.5941504148611638,-0.5941504148611638,-0.06914127460847896,-0.06914127460847896,-1.015469227018713,-1.015469227018713,,
1603319486.9804144,-0.0424757918551997,,-0.587196778776552,,-0.07076602537170891,,-1.0058882551629504,,2.2489005917789058,2.2489005917789058
1603319486.9963717,-0.04335658702336453,-0.04335658702336453,-0.5806867555098735,-0.5806867555098735,-0.07227485775445333,-0.07227485775445333,-0.9969587829352797,-0.9969587829352797,,
1603319487.0123286,-0.04428568583218032,,-0.5730605865594623,,-0.07386999180714977,,-0.9863580214579015,,2.466817879334828,2.466817879334828
1603319487.0282862,-0.04514527671201952,-0.04514527671201952,-0.5659200286248385,-0.5659200286248385,-0.07534952883933663,-0.07534952883933663,-0.9764713043953501,-0.9764713043953501,,
1603319487.0442436,-0.04605074875781926,,-0.5576676922063263,,-0.07691188292636919,,-0.9649254933672855,,2.670151876676103,2.670151876676103
1603319487.0602007,-0.04694301706534938,-0.04694301706534938,-0.5494254729729838,-0.5494254729729838,-0.07845576371575685,-0.07845576371575685,-0.953437240161226,-0.953437240161226,,
1603319487.0761583,-0.047767155274808855,,-0.5411255487056604,,-0.07988591957599869,,-0.9417646028950819,,2.865545293019208,2.865545293019208
1603319487.0921154,-0.04863295615273791,-0.04863295615273791,-0.5322823061519713,-0.5322823061519713,-0.08139274294063083,-0.08139274294063083,-0.9293706509672107,-0.9293706509672107,,
1603319487.108073,-0.05028303130180902,,-0.514107406615571,,-0.08427379195862918,,-0.9037998827122912,,3.0406579786385635,3.0406579786385635
1603319487.123033,-0.05028303130180902,-0.05028303130180902,-0.514107406615571,-0.514107406615571,-0.08427379195862918,-0.08427379195862918,-0.9037998827122912,-0.9037998827122912,,
1603319487.1379929,-0.05110560315239394,,-0.49456234445528174,,-0.08571987177096885,,-0.8739943252021349,,3.2052415851351324,3.2052415851351324
1603319487.1539507,-0.05184744666907686,-0.05184744666907686,-0.48529750411677275,-0.48529750411677275,-0.08703086325877205,-0.08703086325877205,-0.8609233667413756,-0.8609233667413756,,
1603319487.1699078,-0.052623922675663695,,-0.47530113815845,,-0.08840834064555825,,-0.8468296399076586,,3.2440854397080034,3.2440854397080034
1603319487.185865,-0.05338440449671721,-0.05338440449671721,-0.465314217186729,-0.465314217186729,-0.0897632680694105,-0.0897632680694105,-0.8327885450904152,-0.8327885450904152,,
1603319487.2018228,-0.054826878569996074,,-0.4451084007202664,,-0.09234491255919079,,-0.8043177988039566,,3.3887959006061354,3.3887959006061354
1603319487.2177794,-0.0555390520111485,-0.0555390520111485,-0.43468945925933744,-0.43468945925933744,-0.09363182103727712,-0.09363182103727712,-0.789674338551522,-0.789674338551522,,
1603319487.233737,-0.0561910862000375,,-0.42434803453307823,,-0.0948163325451044,,-0.7750398573791139,,3.5843791585180913,3.5843791585180913
1603319487.249695,-0.05687004305529043,-0.05687004305529043,-0.4133260062672562,-0.4133260062672562,-0.09605639631691097,-0.09605639631691097,-0.7594760684632361,-0.7594760684632361,,
1603319487.2646546,-0.05749003206469131,,-0.4026726831288357,,-0.09719561041960582,,-0.7443907729406481,,3.694663775956963,3.694663775956963
1603319487.2806115,-0.05813430835769745,-0.05813430835769745,-0.3913178150625371,-0.3913178150625371,-0.09838663565631087,-0.09838663565631087,-0.7283471912508057,-0.7283471912508057,,
1603319487.2965693,-0.05876041686179751,,-0.37965642766368635,,-0.09955199116231216,,-0.7118339058152114,,3.7940018440535734,3.7940018440535734
1603319487.3125267,-0.059329901503293044,-0.059329901503293044,-0.36873135083646547,-0.36873135083646547,-0.10061974202103498,-0.10061974202103498,-0.6963928657752148,-0.6963928657752148,,
1603319487.3284838,-0.05991987166463139,,-0.3568045434031693,,-0.10173397060627531,,-0.6795060658975586,,3.8828114974129786,3.8828114974129786
1603319487.3444412,-0.06049075893407646,-0.06049075893407646,-0.3448858630995772,-0.3448858630995772,-0.1028211803117114,-0.1028211803117114,-0.662662324566586,-0.662662324566586,,
