seq,send_timestamp,send_size,recv_timestamp,recv_size,rtt
157.0,1609951087.3786743,123.0,,,inf
158.0,1609951087.3892791,123.0,,,inf
159.0,1609951087.3990889,123.0,,,inf
160.0,1609951087.4093106,123.0,,,inf
161.0,1609951087.4186893,123.0,,,inf
162.0,1609951087.4292533,123.0,,,inf
163.0,1609951087.4390006,123.0,,,inf
164.0,1609951087.4487245,123.0,,,inf
165.0,1609951087.4594176,123.0,,,inf
166.0,1609951087.4688473,123.0,,,inf
167.0,1609951087.4793844,123.0,,,inf
168.0,1609951087.4888606,123.0,,,inf
169.0,1609951087.4986453,123.0,,,inf
170.0,1609951087.5094361,123.0,,,inf
171.0,1609951087.5188022,123.0,,,inf
172.0,1609951087.5293064,123.0,,,inf
173.0,1609951087.538681,123.0,,,inf
174.0,1609951087.5484033,123.0,,,inf
175.0,1609951087.5595105,123.0,,,inf
176.0,1609951087.568775,123.0,,,inf
177.0,1609951087.5792694,123.0,,,inf
178.0,1609951087.5885804,123.0,,,inf
179.0,1609951087.5983279,123.0,,,inf
180.0,1609951087.6093419,123.0,,,inf
181.0,1609951087.6187901,123.0,,,inf
182.0,1609951087.6293085,123.0,,,inf
183.0,1609951087.6387596,123.0,,,inf
184.0,1609951087.6484573,123.0,,,inf
185.0,1609951087.6591868,123.0,,,inf
186.0,1609951087.6694653,123.0,,,inf
187.0,1609951087.6784222,123.0,,,inf
188.0,1609951087.6887412,123.0,,,inf
189.0,1609951087.6984577,123.0,,,inf
190.0,1609951087.7091448,123.0,,,inf
191.0,1609951087.7187462,123.0,,,inf
192.0,1609951087.7293139,123.0,,,inf
193.0,1609951087.7387025,123.0,,,inf
194.0,1609951087.7484248,123.0,,,inf
195.0,1609951087.759116,123.0,,,inf
196.0,1609951087.768614,123.0,,,inf
197.0,1609951087.7791443,123.0,,,inf
198.0,1609951087.7884362,123.0,,,inf
199.0,1609951087.7981644,123.0,,,inf
200.0,1609951087.8089807,123.0,,,inf
201.0,1609951087.8182948,123.0,,,inf
202.0,1609951087.8288224,123.0,,,inf
203.0,1609951087.8392856,123.0,,,inf
204.0,1609951087.8488824,123.0,,,inf
205.0,1609951087.8587015,123.0,,,inf
206.0,1609951087.8690157,123.0,,,inf
207.0,1609951087.8785636,123.0,,,inf
208.0,1609951087.8888552,123.0,,,inf
209.0,1609951087.8985856,123.0,,,inf
210.0,1609951087.9092643,123.0,,,inf
211.0,1609951087.9186,123.0,,,inf
212.0,1609951087.9291344,123.0,,,inf
213.0,1609951087.9385,123.0,,,inf
214.0,1609951087.948352,123.0,,,inf
215.0,1609951087.9590943,123.0,,,inf
216.0,1609951087.9685,123.0,,,inf
217.0,1609951087.9789727,123.0,,,inf
218.0,1609951087.988324,123.0,,,inf
219.0,1609951087.99906,123.0,,,inf
220.0,1609951088.0090444,123.0,,,inf
221.0,1609951088.0184102,123.0,,,inf
222.0,1609951088.0289414,123.0,,,inf
223.0,1609951088.0381246,123.0,,,inf
224.0,1609951088.0488997,123.0,,,inf
225.0,1609951088.0586863,123.0,,,inf
226.0,1609951088.06899,123.0,,,inf
227.0,1609951088.078543,123.0,,,inf
228.0,1609951088.0888336,123.0,,,inf
229.0,1609951088.0986233,123.0,,,inf
230.0,1609951088.1093445,123.0,,,inf
231.0,1609951088.1186922,123.0,,,inf
232.0,1609951088.1291995,123.0,,,inf
233.0,1609951088.1384904,123.0,,,inf
234.0,1609951088.1482203,123.0,,,inf
235.0,1609951088.159122,123.0,,,inf
236.0,1609951088.1685176,123.0,,,inf
237.0,1609951088.17906,123.0,,,inf
238.0,1609951088.1884816,123.0,,,inf
239.0,1609951088.1983552,123.0,,,inf
240.0,1609951088.2090826,123.0,,,inf
241.0,1609951088.2184105,123.0,,,inf
242.0,1609951088.2288795,123.0,,,inf
243.0,1609951088.2381456,123.0,,,inf
244.0,1609951088.2488835,123.0,,,inf
245.0,1609951088.258707,123.0,,,inf
246.0,1609951088.269008,123.0,,,inf
247.0,1609951088.2785509,123.0,,,inf
248.0,1609951088.288788,123.0,,,inf
249.0,1609951088.2985375,123.0,,,inf
250.0,1609951088.309259,123.0,,,inf
251.0,1609951088.3185873,123.0,,,inf
252.0,1609951088.3291,123.0,,,inf
253.0,1609951088.3384047,123.0,,,inf
254.0,1609951088.3491104,123.0,,,inf
255.0,1609951088.3589337,123.0,,,inf
256.0,1609951088.3683014,124.0,,,inf
257.0,1609951088.378818,124.0,,,inf
258.0,1609951088.3891609,124.0,,,inf
259.0,1609951088.3989363,124.0,,,inf
260.0,1609951088.4087853,124.0,,,inf
261.0,1609951088.4190896,124.0,,,inf
262.0,1609951088.4286635,124.0,,,inf
263.0,1609951088.4391215,124.0,,,inf
264.0,1609951088.448799,124.0,,,inf
265.0,1609951088.459438,124.0,,,inf
266.0,1609951088.4687686,124.0,,,inf
267.0,1609951088.4792912,124.0,,,inf
268.0,1609951088.4885845,124.0,,,inf
269.0,1609951088.4983985,124.0,,,inf
270.0,1609951088.5092034,124.0,,,inf
271.0,1609951088.5185733,124.0,,,inf
272.0,1609951088.529067,124.0,,,inf
273.0,1609951088.5384135,124.0,,,inf
274.0,1609951088.5491467,124.0,,,inf
275.0,1609951088.5589597,124.0,,,inf
276.0,1609951088.5683172,124.0,,,inf
277.0,1609951088.5788014,124.0,,,inf
278.0,1609951088.5892172,124.0,,,inf
279.0,1609951088.5988827,124.0,,,inf
280.0,1609951088.6087058,124.0,,,inf
281.0,1609951088.619078,124.0,,,inf
282.0,1609951088.6286552,124.0,,,inf
283.0,1609951088.638899,124.0,,,inf
284.0,1609951088.6486807,124.0,,,inf
285.0,1609951088.6593442,124.0,,,inf
286.0,1609951088.6686802,124.0,,,inf
287.0,1609951088.6791916,124.0,,,inf
288.0,1609951088.6885264,124.0,,,inf
289.0,1609951088.6983054,124.0,,,inf
290.0,1609951088.7090437,124.0,,,inf
291.0,1609951088.718393,124.0,,,inf
292.0,1609951088.7289824,124.0,,,inf
293.0,1609951088.7382689,124.0,,,inf
294.0,1609951088.749019,124.0,,,inf
295.0,1609951088.7588162,124.0,,,inf
296.0,1609951088.7690911,124.0,,,inf
297.0,1609951088.7786238,124.0,,,inf
298.0,1609951088.7888963,124.0,,,inf
299.0,1609951088.7986143,124.0,,,inf
300.0,1609951088.8093452,124.0,,,inf
301.0,1609951088.818733,124.0,,,inf
302.0,1609951088.8292189,124.0,,,inf
303.0,1609951088.8385541,124.0,,,inf
304.0,1609951088.8483071,124.0,,,inf
305.0,1609951088.859091,124.0,,,inf
306.0,1609951088.868514,124.0,,,inf
307.0,1609951088.8789666,124.0,,,inf
308.0,1609951088.8883545,124.0,,,inf
309.0,1609951088.899102,124.0,,,inf
310.0,1609951088.9088852,124.0,,,inf
311.0,1609951088.9181387,124.0,,,inf
312.0,1609951088.9286141,124.0,,,inf
313.0,1609951088.9388785,124.0,,,inf
314.0,1609951088.948614,124.0,,,inf
315.0,1609951088.9593816,124.0,,,inf
316.0,1609951088.968777,124.0,,,inf
317.0,1609951088.9792643,124.0,,,inf
318.0,1609951088.988598,124.0,,,inf
319.0,1609951088.9983585,124.0,,,inf
320.0,1609951089.0091264,124.0,,,inf
321.0,1609951089.018483,124.0,,,inf
322.0,1609951089.0289674,124.0,,,inf
323.0,1609951089.0382748,124.0,,,inf
324.0,1609951089.0490518,124.0,,,inf
325.0,1609951089.0590127,124.0,,,inf
326.0,1609951089.0685482,124.0,,,inf
327.0,1609951089.0790517,124.0,,,inf
328.0,1609951089.0884333,124.0,,,inf
329.0,1609951089.0991585,124.0,,,inf
330.0,1609951089.109064,124.0,,,inf
331.0,1609951089.1185856,124.0,,,inf
332.0,1609951089.1291072,124.0,,,inf
333.0,1609951089.138453,124.0,,,inf
334.0,1609951089.1482089,124.0,,,inf
335.0,1609951089.1591048,124.0,,,inf
336.0,1609951089.168756,124.0,,,inf
337.0,1609951089.1786163,124.0,,,inf
338.0,1609951089.188932,124.0,,,inf
339.0,1609951089.198266,124.0,,,inf
340.0,1609951089.2095594,124.0,,,inf
341.0,1609951089.2190976,124.0,,,inf
342.0,1609951089.2289562,124.0,,,inf
343.0,1609951089.2381246,124.0,,,inf
344.0,1609951089.2482684,124.0,,,inf
345.0,1609951089.2595694,124.0,,,inf
346.0,1609951089.268959,124.0,,,inf
347.0,1609951089.2786956,124.0,,,inf
348.0,1609951089.2888987,124.0,,,inf
349.0,1609951089.2981317,124.0,,,inf
350.0,1609951089.3092885,124.0,,,inf
351.0,1609951089.3189077,124.0,,,inf
352.0,1609951089.3286297,124.0,,,inf
353.0,1609951089.338865,124.0,,,inf
354.0,1609951089.3490255,124.0,,,inf
355.0,1609951089.360125,124.0,,,inf
356.0,1609951089.3700743,124.0,,,inf
357.0,1609951089.3799627,124.0,,,inf
358.0,1609951089.3916135,124.0,,,inf
359.0,1609951089.4001083,124.0,,,inf
360.0,1609951089.411033,124.0,,,inf
361.0,1609951089.419868,124.0,,,inf
362.0,1609951089.4307106,124.0,,,inf
363.0,1609951089.4408383,124.0,,,inf
364.0,1609951089.4493935,124.0,,,inf
365.0,1609951089.4598007,124.0,,,inf
366.0,1609951089.4681358,124.0,,,inf
367.0,1609951089.4785874,124.0,,,inf
368.0,1609951089.4888005,124.0,,,inf
369.0,1609951089.4985704,124.0,,,inf
370.0,1609951089.5092502,124.0,,,inf
371.0,1609951089.5184975,124.0,,,inf
372.0,1609951089.5289319,124.0,,,inf
373.0,1609951089.5382226,124.0,,,inf
374.0,1609951089.5489163,124.0,,,inf
375.0,1609951089.5586855,124.0,,,inf
376.0,1609951089.5690315,124.0,,,inf
377.0,1609951089.5786734,124.0,,,inf
378.0,1609951089.5889072,124.0,,,inf
379.0,1609951089.598624,124.0,,,inf
380.0,1609951089.609306,124.0,,,inf
381.0,1609951089.6186278,124.0,,,inf
382.0,1609951089.6291208,124.0,,,inf
383.0,1609951089.6383224,124.0,,,inf
384.0,1609951089.6490645,124.0,,,inf
385.0,1609951089.6588404,124.0,,,inf
386.0,1609951089.6690753,124.0,,,inf
387.0,1609951089.678561,124.0,,,inf
388.0,1609951089.6887333,124.0,,,inf
389.0,1609951089.69844,124.0,,,inf
390.0,1609951089.7091305,124.0,,,inf
391.0,1609951089.7183936,124.0,,,inf
392.0,1609951089.7288482,124.0,,,inf
393.0,1609951089.7390602,124.0,,,inf
394.0,1609951089.74878,124.0,,,inf
395.0,1609951089.7594407,124.0,,,inf
396.0,1609951089.7691984,124.0,,,inf
397.0,1609951089.7787397,124.0,,,inf
398.0,1609951089.7889519,124.0,,,inf
399.0,1609951089.7986753,124.0,,,inf
400.0,1609951089.8093712,124.0,,,inf
401.0,1609951089.818636,124.0,,,inf
402.0,1609951089.82905,124.0,,,inf
403.0,1609951089.838294,124.0,,,inf
404.0,1609951089.8489795,124.0,,,inf
405.0,1609951089.8587458,124.0,,,inf
406.0,1609951089.8690145,124.0,,,inf
407.0,1609951089.8786976,124.0,,,inf
408.0,1609951089.8888745,124.0,,,inf
409.0,1609951089.8985567,124.0,,,inf
410.0,1609951089.909245,124.0,,,inf
411.0,1609951089.9186974,124.0,,,inf
412.0,1609951089.9293118,124.0,,,inf
413.0,1609951089.938565,124.0,,,inf
414.0,1609951089.9482274,124.0,,,inf
415.0,1609951089.9589427,124.0,,,inf
416.0,1609951089.9681966,124.0,,,inf
417.0,1609951089.9787853,124.0,,,inf
418.0,1609951089.989013,124.0,,,inf
419.0,1609951089.9987655,124.0,,,inf
420.0,1609951090.0094216,124.0,,,inf
421.0,1609951090.0187104,124.0,,,inf
422.0,1609951090.0291996,124.0,,,inf
423.0,1609951090.0385067,124.0,,,inf
424.0,1609951090.048197,124.0,,,inf
425.0,1609951090.0588896,124.0,,,inf
426.0,1609951090.0680964,124.0,,,inf
427.0,1609951090.0785944,124.0,,,inf
428.0,1609951090.0888805,124.0,,,inf
429.0,1609951090.0986128,124.0,,,inf
430.0,1609951090.1093717,124.0,,,inf
431.0,1609951090.118671,124.0,,,inf
432.0,1609951090.1291075,124.0,,,inf
433.0,1609951090.1383984,124.0,,,inf
434.0,1609951090.149104,124.0,,,inf
435.0,1609951090.1590965,124.0,,,inf
436.0,1609951090.1683717,124.0,,,inf
