tick,force_value,force_target
288.0,-0.0655370490007561,
289.0,-0.0657517853852192,-0.0657517853852192
290.0,-0.0657517853852192,
291.0,-0.06601161184248057,-0.06601161184248057
292.0,-0.06601161184248057,
293.0,-0.06617670804617697,-0.06617670804617697
294.0,-0.06617670804617697,
295.0,-0.06640792662275101,-0.06640792662275101
296.0,-0.06640792662275101,
297.0,-0.06651997762992339,-0.06651997762992339
298.0,-0.06651997762992339,
299.0,-0.06670256301356896,-0.06670256301356896
300.0,-0.06670256301356896,
301.0,-0.06680248793940705,-0.06680248793940705
302.0,-0.06680248793940705,
303.0,-0.06693363800162301,-0.06693363800162301
304.0,-0.06693363800162301,
305.0,-0.06700922342841152,-0.06700922342841152
306.0,-0.06700922342841152,
307.0,-0.0671225361394404,-0.0671225361394404
308.0,-0.0671225361394404,
309.0,-0.06716573679850539,-0.06716573679850539
310.0,-0.06716573679850539,
311.0,-0.06725785231623588,-0.06725785231623588
312.0,-0.06725785231623588,
313.0,-0.06731213533904545,-0.06731213533904545
314.0,-0.06731213533904545,
315.0,-0.06732324486616093,-0.06732324486616093
316.0,-0.06732324486616093,
317.0,-0.06739072326609456,-0.06739072326609456
318.0,-0.06739072326609456,
319.0,-0.06742282756459432,-0.06742282756459432
320.0,-0.06742282756459432,
321.0,-0.06741823817158407,-0.06741823817158407
322.0,-0.06741823817158407,
323.0,-0.06743090025884915,-0.06743090025884915
324.0,-0.06743090025884915,
325.0,-0.06750752269395993,-0.06750752269395993
326.0,-0.06750752269395993,
327.0,-0.06752847475283787,-0.06752847475283787
328.0,-0.06752847475283787,
329.0,-0.06750785798739362,-0.06750785798739362
330.0,-0.06750785798739362,
331.0,-0.06755283396363403,-0.06755283396363403
332.0,-0.06755283396363403,
333.0,-0.06756571751758474,-0.06756571751758474
334.0,-0.06756571751758474,
335.0,-0.06758052130834614,-0.06758052130834614
336.0,-0.06758052130834614,
337.0,-0.06756536708200678,-0.06756536708200678
338.0,-0.06756536708200678,
339.0,-0.06757762874727168,-0.06757762874727168
340.0,-0.06757762874727168,
341.0,-0.06755693533616924,-0.06755693533616924
342.0,-0.06755693533616924,
343.0,-0.06761057745964583,-0.06761057745964583
344.0,-0.06761057745964583,
345.0,-0.06766476609502489,-0.06766476609502489
346.0,-0.06766476609502489,
347.0,-0.06763572023309448,-0.06763572023309448
348.0,-0.06763572023309448,
349.0,-0.06764949352074591,-0.06764949352074591
350.0,-0.06764949352074591,
351.0,-0.06764689163055876,-0.06764689163055876
352.0,-0.06764689163055876,
353.0,-0.06772721572964846,-0.06772721572964846
354.0,-0.06772721572964846,
355.0,-0.06774434286409817,-0.06774434286409817
356.0,-0.06774434286409817,
357.0,-0.06775958835203012,-0.06775958835203012
358.0,-0.06775958835203012,
359.0,-0.06773361931635269,-0.06773361931635269
360.0,-0.06773361931635269,
361.0,-0.06778552704091687,-0.06778552704091687
362.0,-0.06778552704091687,
363.0,-0.06777010909130755,-0.06777010909130755
364.0,-0.06777010909130755,
365.0,-0.0678191177106923,-0.0678191177106923
366.0,-0.0678191177106923,
367.0,-0.0678476269512221,-0.0678476269512221
368.0,-0.0678476269512221,
369.0,-0.06786642050663631,-0.06786642050663631
370.0,-0.06786642050663631,
371.0,-0.06783397741157099,-0.06783397741157099
372.0,-0.06783397741157099,
373.0,-0.06784819344818308,-0.06784819344818308
374.0,-0.06784819344818308,
375.0,-0.067934736324133,-0.067934736324133
376.0,-0.067934736324133,
377.0,-0.06795511547793447,-0.06795511547793447
378.0,-0.06795511547793447,
379.0,-0.06793749963111571,-0.06793749963111571
380.0,-0.06793749963111571,
381.0,-0.06798342350584487,-0.06798342350584487
382.0,-0.06798342350584487,
383.0,-0.06801618006512339,-0.06801618006512339
384.0,-0.06801618006512339,
385.0,-0.0679694138098027,-0.0679694138098027
386.0,-0.0679694138098027,
387.0,-0.06796243207965506,-0.06796243207965506
388.0,-0.06796243207965506,
389.0,-0.06801419799104624,-0.06801419799104624
390.0,-0.06801419799104624,
391.0,-0.06812139893302294,-0.06812139893302294
392.0,-0.06812139893302294,
393.0,-0.06813942797357157,-0.06813942797357157
394.0,-0.06813942797357157,
395.0,-0.06807537084442014,-0.06807537084442014
396.0,-0.06807537084442014,
397.0,-0.06808263149928002,-0.06808263149928002
398.0,-0.06808263149928002,
399.0,-0.06819393595808859,-0.06819393595808859
400.0,-0.06819393595808859,
401.0,-0.0682138731761373,-0.0682138731761373
402.0,-0.0682138731761373,
403.0,-0.06817258872996317,-0.06817258872996317
404.0,-0.06817258872996317,
405.0,-0.06813860087943711,-0.06813860087943711
406.0,-0.06813860087943711,
407.0,-0.06826678800844162,-0.06826678800844162
408.0,-0.06826678800844162,
409.0,-0.06822156733550518,-0.06822156733550518
410.0,-0.06822156733550518,
411.0,-0.06828917143827262,-0.06828917143827262
412.0,-0.06828917143827262,
413.0,-0.06830478449065897,-0.06830478449065897
414.0,-0.06830478449065897,
415.0,-0.06829781928063186,-0.06829781928063186
416.0,-0.06829781928063186,
417.0,-0.06822263411214927,-0.06822263411214927
418.0,-0.06822263411214927,
419.0,-0.06819702497041248,-0.06819702497041248
420.0,-0.06819702497041248,
421.0,-0.06835656375947605,-0.06835656375947605
422.0,-0.06835656375947605,
423.0,-0.06831179385550099,-0.06831179385550099
424.0,-0.06831179385550099,
425.0,-0.06837519471636459,-0.06837519471636459
426.0,-0.06837519471636459,
427.0,-0.06831209524032364,-0.06831209524032364
428.0,-0.06831209524032364,
429.0,-0.06839133591317098,-0.06839133591317098
430.0,-0.06839133591317098,
431.0,-0.06838814191550248,-0.06838814191550248
432.0,-0.06838814191550248,
433.0,-0.06831639791918773,-0.06831639791918773
434.0,-0.06831639791918773,
435.0,-0.06838729844076481,-0.06838729844076481
436.0,-0.06838729844076481,
437.0,-0.06839947600480593,-0.06839947600480593
438.0,-0.06839947600480593,
439.0,-0.06833891687085954,-0.06833891687085954
440.0,-0.06833891687085954,
441.0,-0.0684403479939747,-0.0684403479939747
442.0,-0.0684403479939747,
443.0,-0.06834045475403439,-0.06834045475403439
444.0,-0.06834045475403439,
445.0,-0.06841994113878558,-0.06841994113878558
