tick,tick_dt,input_force,output_angle,output_position,output_ang_vel,output_speed
235.0,0.009237103000486968,-0.8799551672652322,0.009393903780407583,0.00608772904151143,0.09238621009237136,0.055763886330871114
236.0,0.004440493999936734,-0.8799551672652322,0.009804144191999653,0.006335348244176817,0.07959081337489596,0.04755308889435376
237.0,0.004890074000286404,-1.9855228304651074,0.01019334915914588,0.006567886367812404,0.04786207959858758,0.027764562175269018
238.0,0.0047482729987677885,-1.9855228304651074,0.010420611379368727,0.006699720088711844,0.01708599989655177,0.008554159454807376
239.0,0.005047028000262799,-1.8717095173600118,0.010506844899259111,0.006742893170998969,-0.01161461986778468,-0.009425580950915871
240.0,0.004974403000232996,-1.8717095173600118,0.010449069099342238,0.006696006532837794,-0.03977218451258386,-0.027065313909716202
241.0,0.004567314001178602,-1.407917004195032,0.010267417044160454,0.006572390745671653,-0.058719410828993665,-0.03905155897413455
242.0,0.004982108001058805,-1.407917004195032,0.009974870597651866,0.006377831661252798,-0.07942027094778403,-0.05213206199301979
243.0,0.005061758000010741,-0.20501120663084624,0.0095728644058189,0.006113951779402574,-0.08059048622648358,-0.0533192956704137
244.0,0.0049698040002112975,-0.20501120663084624,0.009172345484991549,0.005848965330491303,-0.08178504034993427,-0.05449257719446331
245.0,0.005016916000386118,-0.4703300679682621,0.00876203680746774,0.005575580648062124,-0.08738880160267987,-0.058332393457803784
246.0,0.004947814999468392,-0.4703300679682621,0.008329653184112433,0.00528696275675671,-0.09296321773054943,-0.06212758918234622
247.0,0.005100734999359702,0.02335874122130982,0.007855472445781123,0.004970066388188476,-0.09053133173906144,-0.06104077717879152
248.0,0.004916933001368307,0.02335874122130982,0.007410335953095509,0.004669932976448906,-0.08823588056596465,-0.06000153327740287
249.0,0.00498880899976939,-0.30453800474795517,0.006970143998025448,0.004370596787234636,-0.09130484004478016,-0.06220915340807399
250.0,0.005085251999844331,-0.30453800474795517,0.0065058358775922625,0.004054247565457605,-0.09448568115435507,-0.0644685623240203
251.0,0.004932369000016479,-1.322183684568689,0.0060397976329210805,0.0037362648271749765,-0.11403395423290162,-0.07665261096168668
252.0,0.004980075000275974,-1.322183684568689,0.005471899988263192,0.0033545290756188005,-0.13383519914702305,-0.08896549778005758
253.0,0.005003336998925079,2.5886857382587376,0.004802277384612386,0.0029094047089480513,-0.08982597124015412,-0.06242849426067073
254.0,0.005031599999711034,2.5886857382587376,0.0043503090277463834,0.0025952894972441003,-0.04561879724733643,-0.03575005147454699
255.0,0.004969792000338202,0.014157807191927496,0.0041235930941215205,0.0024176191774142176,-0.04381441165458107,-0.03485321250068973
256.0,0.004989713999748346,0.014157807191927496,0.00390497171089792,0.002243711615063322,-0.04202732253045664,-0.0339569651564063
257.0,0.005165287999261636,-1.542222250435523,0.003687888486190254,0.0020683141104495912,-0.06648771350875554,-0.0490238587401267
258.0,0.004850777000683593,-1.542222250435523,0.003365371414673943,0.0018305103039882233,-0.08949390946875169,-0.06317942764700744
259.0,0.004988963999494445,0.8150793786668651,0.002918889522160326,0.0015153104139486392,-0.07475291884863954,-0.054354436559542335
260.0,0.005137226999067934,0.8150793786668651,0.0025348668091919606,0.0012360793349358331,-0.05961726658566874,-0.045274732092070044
