seq,start,end,tick_delta
90.0,0.4442202744999122,0.4454690524999023,0.00462166499983141
91.0,0.4487419245001547,0.4499013824997746,0.004522331000316626
92.0,0.45323287349992825,0.4546072564999122,0.004483711999910156
93.0,0.4576632254998003,0.45890088550004293,0.0044865279996884055
94.0,0.46221783349983525,0.46345321250009874,0.004480497999793442
95.0,0.4667381354997815,0.46792404049983816,0.004543305999959557
96.0,0.4711695295000027,0.4724176485001408,0.00440726100032407
97.0,0.4756318824997834,0.476595650499803,0.004327957999976206
98.0,0.48012251950012796,0.48114625549987977,0.0044748139998773695
99.0,0.4845934384998145,0.4854920044999744,0.0044633190000240575
100.0,0.4891216944997723,0.49017706350014123,0.004544351999811624
101.0,0.4936343875001512,0.4945798015000946,0.004500313999869832
102.0,0.4980930265001007,0.49909797249983967,0.0044546459998855426
