tick,position_value,speed_value,angle_value,ang_vel_value,position_sample,speed_sample,angle_sample,ang_vel_sample
138.0,0.005947346837118495,0.059880176420467265,0.005723756952443969,0.09251675347018687,0.005947346837118495,0.059880176420467265,0.005723756952443969,0.09251675347018687
139.0,0.006253756633996141,0.04241931312712048,0.006197169713280287,0.0643258945373137,,,,
140.0,0.006471948048958442,0.024874089037191485,0.006528041594815748,0.03602586210667684,0.006471948048958442,0.024874089037191485,0.006528041594815748,0.03602586210667684
141.0,0.0065936182127902775,0.021538864424233663,0.006704260009815736,0.031071637392537623,,,,
142.0,0.006697996432884942,0.018237398550038073,0.006854834438559106,0.026179601030404977,0.006697996432884942,0.018237398550038073,0.006854834438559106,0.026179601030404977
143.0,0.006791694131820333,0.008380316933686958,0.006989336537028102,0.010555221809680217,,,,
144.0,0.0068315664646446915,-3.83081671011403e-06,0.007039556751891185,-0.0026895491009469585,0.0068315664646446915,-3.83081671011403e-06,0.007039556751891185,-0.0026895491009469585
145.0,0.006831546613658965,0.009962522520044216,0.0070256197236138965,0.014281827573520587,,,,
146.0,0.0068810956179114115,0.01946591268109531,0.007096650964321188,0.030472720744990946,0.0068810956179114115,0.01946591268109531,0.007096650964321188,0.030472720744990946
147.0,0.006974427058042936,0.022976119891976905,0.007242755745455743,0.03680165830387968,,,,
148.0,0.007094497549413433,0.026805944086290633,0.00743507686915161,0.043722998468966795,0.007094497549413433,0.026805944086290633,0.00743507686915161,0.043722998468966795
149.0,0.007225592421055064,0.01089162140797348,0.007648904849006566,0.0181663820073601,,,,
150.0,0.007279079627180801,-0.0037520519683404913,0.0077381173714208325,-0.00529313245433263,0.007279079627180801,-0.0037520519683404913,0.0077381173714208325,-0.00529313245433263
151.0,0.007260298742309592,-0.012822455124776767,0.007711622612800299,-0.019580840728425305,,,,
152.0,0.007194740683580083,-0.022089193597271163,0.007611510591041936,-0.03418642110621445,0.007194740683580083,-0.022089193597271163,0.007611510591041936,-0.03418642110621445
153.0,0.007085203774264026,-0.018036181314926392,0.007441985393480421,-0.026929618259765992,,,,
154.0,0.006995663693211434,-0.01398110112482993,0.007308294111518241,-0.019679628298727818,0.006995663693211434,-0.01398110112482993,0.007308294111518241,-0.019679628298727818
155.0,0.006925375552813085,-0.0010322750246243362,0.007209357377959273,0.0021895570181601955,,,,
156.0,0.0069201689134624055,0.010587912223049889,0.00722040117293577,0.021877479815655715,0.0069201689134624055,0.010587912223049889,0.00722040117293577,0.021877479815655715
157.0,0.006971992805091967,0.004679600953542477,0.007327483298213143,0.012743174722019999,,,,
158.0,0.0069962534334603995,-0.00024347859319247042,0.007393548210421288,0.0052679434577976745,0.0069962534334603995,-0.00024347859319247042,0.007393548210421288,0.0052679434577976745
159.0,0.0069950809571818415,0.004484329059068389,0.007418916102768888,0.013615427377622221,,,,
160.0,0.007017573356220698,0.009508864084974755,0.007487208063869011,0.022479126077065814,0.007017573356220698,0.009508864084974755,0.007487208063869011,0.022479126077065814
161.0,0.0070649631290785175,-0.002125937302777465,0.0075992383410203816,0.003964565832141411,,,,
162.0,0.007054037765078782,-0.01413155711573212,0.00761961256596129,-0.015139507501393616,0.007054037765078782,-0.01413155711573212,0.00761961256596129,-0.015139507501393616
163.0,0.006983956094821758,-0.01769268730070205,0.007544532235897362,-0.020390373183487936,,,,
164.0,0.006896653917852301,-0.021237861022263733,0.007443918692127361,-0.02562643376391629,0.006896653917852301,-0.021237861022263733,0.007443918692127361,-0.02562643376391629
165.0,0.006791359087731783,-0.02556830936210625,0.007316865831816353,-0.032160280861584546,,,,
166.0,0.006662378370470443,-0.02997761776700122,0.007154631558360596,-0.03882681143536565,0.006662378370470443,-0.02997761776700122,0.007154631558360596,-0.03882681143536565
167.0,0.006511854816097163,-0.04199783956466728,0.006959674450439044,-0.05802259010296748,,,,
168.0,0.00630277222563159,-0.053921230213500745,0.006670814033569962,-0.07708733645477082,0.00630277222563159,-0.053921230213500745,0.006670814033569962,-0.07708733645477082
169.0,0.006035434810319989,-0.06085332528917848,0.0062886208009698226,-0.08798007662082571,,,,
170.0,0.005729822290881528,-0.06788376304314425,0.005846774562515194,-0.09906370941503817,0.005729822290881528,-0.06788376304314425,0.005846774562515194,-0.09906370941503817
171.0,0.005388412920087728,-0.06342455632852431,0.00534855117029705,-0.09130019183163321,,,,
172.0,0.005075839518436261,-0.0590634202880055,0.004898599082584763,-0.08374241191302902,0.005075839518436261,-0.0590634202880055,0.004898599082584763,-0.08374241191302902
173.0,0.004768216966833685,-0.061171559813607126,0.004462439877709329,-0.08683347839011092,,,,
174.0,0.004462231441543684,-0.06320459415052318,0.004028091177448693,-0.08985052356742429,0.004462231441543684,-0.06320459415052318,0.004028091177448693,-0.08985052356742429
175.0,0.0041582859206635405,-0.0642366731873472,0.003596007646906343,-0.09126886194804025,,,,
176.0,0.0038347548327865044,-0.06532652402637737,0.0031363276427873762,-0.09280592667919127,0.0038347548327865044,-0.06532652402637737,0.0031363276427873762,-0.09280592667919127
177.0,0.0035078848160743467,-0.07288617603250386,0.0026719607526652913,-0.10501696301801834,,,,
178.0,0.003136876395839764,-0.08058717783556327,0.0021373987867614515,-0.11750104538648079,0.003136876395839764,-0.08058717783556327,0.0021373987867614515,-0.11750104538648079
179.0,0.0027369312579947854,-0.07745758922107832,0.0015542542586093984,-0.11223214470683272,,,,
180.0,0.0023501241685993874,-0.07431923126304842,0.0009937902722239368,-0.1069934080273907,0.0023501241685993874,-0.07431923126304842,0.0009937902722239368,-0.1069934080273907
181.0,0.0019847380529309216,-0.07232358317680644,0.0004677634942707442,-0.1036757028586284,,,,
182.0,0.0016272776582229992,-0.07032706323714671,-4.465522224759619e-05,-0.1003973828277671,0.0016272776582229992,-0.07032706323714671,-4.465522224759619e-05,-0.1003973828277671
183.0,0.001260952284411804,-0.063663377081862,-0.0005676133425096302,-0.08949091138497173,,,,
184.0,0.000938683622191156,-0.057196285615556834,-0.0010206228687849508,-0.07894311855751054,0.000938683622191156,-0.057196285615556834,-0.0010206228687849508,-0.07894311855751054
185.0,0.0006652881795641634,-0.05388861676118055,-0.0013979671072806663,-0.07361382014201545,,,,
186.0,0.0003946154114106337,-0.0504200193992965,-0.0017677160017549598,-0.0680551974573157,0.0003946154114106337,-0.0504200193992965,-0.0017677160017549598,-0.0680551974573157
187.0,0.00013540896561920558,-0.0674504761475752,-0.002117583892737778,-0.09622532430750541,,,,
188.0,-0.00019448281445936822,-0.08366141489837538,-0.0025882098295360342,-0.12307739115571066,-0.00019448281445936822,-0.08366141489837538,-0.0025882098295360342,-0.12307739115571066
189.0,-0.0006164032254733638,-0.07838926444280286,-0.003208912497857224,-0.11467185210884685,,,,
190.0,-0.0010052164071854604,-0.07321488596227829,-0.0037776884391570956,-0.10646759457958077,-0.0010052164071854604,-0.07321488596227829,-0.0037776884391570956,-0.10646759457958077
191.0,-0.0013675910691616172,-0.07253555894435046,-0.004304646285093888,-0.105694311621723,,,,
