tick,position_value,speed_value,angle_value,ang_vel_value,position_sample,speed_sample,angle_sample,ang_vel_sample
42.0,-6.067993468252216e-09,-1.563784636228543e-07,3.490858642393676e-09,2.0189232390400155e-07,-6.067993468252216e-09,-1.563784636228543e-07,3.490858642393676e-09,2.0189232390400155e-07
43.0,-6.836695262948935e-09,-2.7735641235880204e-07,4.483290644378225e-09,-8.55673677761223e-07,,,,
44.0,-8.203523749761722e-09,-8.401965704735088e-08,2.6648113118440555e-10,-1.8593804947514668e-07,-8.203523749761722e-09,-8.401965704735088e-08,2.6648113118440555e-10,-1.8593804947514668e-07
45.0,-8.613452043656675e-09,-4.8178443495965705e-08,-6.40702616882387e-10,-1.2053309809978776e-07,,,,
46.0,-8.852545133535757e-09,-2.9727561898320662e-08,-1.2388670399358235e-09,-9.034691814111302e-08,-8.852545133535757e-09,-2.9727561898320662e-08,-1.2388670399358235e-09,-9.034691814111302e-08
47.0,-9.004306863875263e-09,-3.4119949961391746e-07,-1.7000957365519272e-09,-8.022861854497797e-07,,,,
48.0,-1.0695701705842781e-08,-2.0168535151810528e-07,-5.677190419829716e-09,-4.075907221055382e-07,-1.0695701705842781e-08,-2.0168535151810528e-07,-5.677190419829716e-09,-4.075907221055382e-07
49.0,-1.1616674064703122e-08,4.5090210911076266e-07,-7.53840535666874e-09,1.0665492587290902e-06,,,,
50.0,-9.177532632574964e-09,6.135573113951709e-07,-1.7689391381537666e-09,5.909875007568361e-07,-9.177532632574964e-09,6.135573113951709e-07,-1.7689391381537666e-09,5.909875007568361e-07
51.0,-6.359861486664663e-09,6.513148393877855e-07,9.45083492738943e-10,1.5927073454082134e-06,,,,
52.0,-3.1400077692437257e-09,6.968993755725225e-07,8.818824971893152e-09,6.213982548565265e-07,-3.1400077692437257e-09,6.968993755725225e-07,8.818824971893152e-09,6.213982548565265e-07
53.0,8.174858649959769e-10,5.668996655655622e-07,1.2347569183928181e-08,1.2898426743119874e-06,,,,
54.0,3.3054151844578107e-09,6.335953582860775e-07,1.80082488453148e-08,1.4735188494583406e-06,3.3054151844578107e-09,6.335953582860775e-07,1.80082488453148e-08,1.4735188494583406e-06
55.0,6.8052590871346956e-09,3.8605654900167403e-07,2.6147648689888368e-08,-4.913509436351511e-07,,,,
