tick,tick_dt,input_force,output_ang_vel,output_angle,output_speed,output_position
66.0,0.00493768500018632,3.3247080560384334e-06,-2.923150990456977e-07,3.5229531398236045e-08,-1.3881322952128178e-07,1.318475341792764e-08
67.0,0.005782443000043713,1.9772081480926728e-08,-4.045120833048768e-07,3.3539235999952165e-08,-1.3711674393863275e-07,1.2382073830568843e-08
68.0,0.004986111999642162,1.9772081480926728e-08,3.698885297383642e-07,3.152229344738547e-08,-1.4155485996419911e-07,1.1698394388264565e-08
69.0,0.004861277000145492,-1.8911170619365833e-05,-9.496572438184884e-07,3.3320424049620215e-08,-3.248224320980395e-07,1.1010257003261788e-08
70.0,0.005019098000047961,-1.8911170619365833e-05,-7.17324120026395e-07,2.855400127643978e-08,-3.351156906188135e-07,9.379941383947804e-09
71.0,0.004916931000025215,5.791835199090165e-06,-4.84192092612182e-07,2.502696807361619e-08,-1.5980530495812909e-07,7.7322006561493e-09
72.0,0.004938688000038383,5.791835199090165e-06,9.456275565686917e-07,2.263569439611893e-08,3.894212385931035e-07,6.942972114210113e-09
73.0,0.0048367379999945115,-1.5568161903137148e-05,-1.5362204414828283e-07,2.720944713281668e-08,-8.42448045943637e-08,8.826500616918305e-09
74.0,0.004877736999787885,-1.5568161903137148e-05,-2.2895743946989066e-07,2.6460119204091555e-08,-1.2509977177700936e-07,8.415576616508477e-09
75.0,0.004818218000309571,-5.5326039367991e-07,-3.311018877993634e-07,2.535695234793294e-08,-1.6221783870178927e-07,7.812818644297871e-09
76.0,0.004917647000183933,-5.5326039367991e-07,-6.342330939780097e-08,2.3728710142641163e-08,-5.207749800348213e-08,7.0150885764296965e-09
77.0,0.0056841230002646626,-2.459422396782328e-06,-1.0110615691060388e-06,2.336820425094022e-08,-4.563363532945776e-07,6.719073672231867e-09
78.0,0.00490756599992892,-2.459422396782328e-06,-1.4693544971773196e-07,1.840635287056064e-08,-4.319951424470983e-07,4.479572900271847e-09
79.0,0.004669466999985161,-1.3323335921395263e-05,-1.2911277533971255e-06,1.772024263697571e-08,-5.561822027061111e-07,2.462385838461232e-09
80.0,0.0048939220000647765,-1.3323335921395263e-05,-1.1322157995048405e-06,1.140156411973131e-08,-5.204591250916733e-07,-2.5952647940669216e-10
81.0,0.005565660999764077,1.2574757257328534e-05,-4.3207707735614826e-07,5.100034801110515e-09,-2.576293525757674e-07,-3.1562255339007514e-09
82.0,0.004868000999977085,1.2574757257328534e-05,2.5821455268939776e-07,2.9966831564736096e-09,-1.526397034801937e-07,-4.410365479863036e-09
83.0,0.004824509999707516,-1.3621222203056179e-05,-8.188476206538859e-07,4.2424418479936125e-09,-2.842243190104637e-07,-5.146777255655621e-09
84.0,0.004900765999991563,-1.3621222203056179e-05,-3.3920088370418195e-07,2.2946126951905922e-10,-1.8369731271696908e-07,-6.539694134632857e-09
85.0,0.005071148999832076,2.7675323011543823e-06,-6.726159274789887e-07,-1.4906769526195593e-09,-3.12788426362304e-07,-7.471250578289354e-09
86.0,0.004875891000210686,2.7675323011543823e-06,-3.188374914996505e-07,-4.770278900012724e-09,-2.0679546057566717e-07,-8.996372851359376e-09
87.0,0.004746112999782781,1.7919996408387332e-06,4.087064140323503e-07,-6.283517663237348e-09,1.1916798023830169e-07,-9.977847475093618e-09
88.0,0.004928713000026619,1.7919996408387332e-06,1.7655163445230953e-07,-4.269121047201841e-09,1.482851751829107e-07,-9.390502701706186e-09
89.0,0.0055277070000556705,2.259636080340331e-07,3.056333987196536e-07,-3.29319534156854e-09,1.103306247069288e-07,-8.570825700843129e-09
90.0,0.004908591000003071,2.259636080340331e-07,6.568923300884705e-07,-1.7929659913128984e-09,1.1419923985848353e-07,-8.029257789381982e-09
91.0,0.004620851999789011,-1.5141325968186543e-05,-3.1457681458360844e-07,1.2424362458224736e-09,-2.5612856510324357e-08,-7.501560003507524e-09
92.0,0.004958527999860962,-1.5141325968186543e-05,-5.335014616718924e-07,-3.174016973974192e-10,-1.7495759426955548e-07,-7.628562069670388e-09
93.0,0.005524138000055245,8.71595077919507e-06,1.301197686879012e-07,-3.2645373949041373e-09,-8.310497255354803e-08,-8.595051964573087e-09
94.0,0.004882650999661564,8.71595077919507e-06,4.3012883212427085e-07,-2.629207976244425e-09,2.5987274411984465e-10,-9.000824541888515e-09
95.0,0.004566635999708524,-1.2657405350141303e-05,-4.836613573411366e-07,-6.649661669531457e-10,-1.1543157368112546e-07,-8.999637797659874e-09
96.0,0.00587656000016068,-1.2657405350141303e-05,-7.769098875887466e-07,-3.50723115312749e-09,-2.6354772729008376e-07,-9.677978366309976e-09
97.0,0.004551182999875891,1.2817881295639784e-05,5.819071266879137e-07,-7.0430902259568825e-09,-1.570144228022965e-07,-1.0877432302408532e-08
98.0,0.00487360399984027,1.2817881295639784e-05,-8.191396571082446e-07,-4.207105325795108e-09,-3.538479137061615e-08,-1.1642658421410416e-08
99.0,0.00537538200023846,2.2280503919372308e-05,6.147526068257569e-07,-8.61029389429627e-09,1.9300507420392845e-07,-1.183286519202622e-08
100.0,0.004818580000119255,2.2280503919372308e-05,1.0537152266834594e-06,-5.648059278024502e-09,4.057695374024587e-07,-1.0902854801545637e-08
101.0,0.004687794000346912,-1.5779377960487895e-05,1.7038463160108522e-07,-7.084593603035946e-10,2.579393577174923e-07,-9.00069079858685e-09
102.0,0.00497814299978927,-1.5779377960487895e-05,8.396618577600503e-08,1.3973970077302146e-10,1.0186014583319955e-07,-7.716631790595374e-09
103.0,0.005667859999903158,7.994336440721164e-07,3.8372916524426286e-07,6.156482864772778e-10,1.0893876596071658e-07,-7.13930274444308e-09
104.0,0.004881835000105639,7.994336440721164e-07,6.926990360340309e-07,2.4889507559280403e-09,1.1446306263315723e-07,-6.607481663907737e-09
105.0,0.004570369999782997,-1.6595043467728782e-05,-4.4916955173389926e-07,5.6548416490965765e-09,-3.7132006491852054e-08,-6.084343116365873e-09
106.0,0.005238178000126936,-1.6595043467728782e-05,-6.488790421569847e-07,3.3020115848771874e-09,-2.0990395290253574e-07,-6.278847175872063e-09
107.0,0.004411218999848643,1.0440723823263952e-05,2.380891279906108e-07,4.396640255107081e-10,-1.2429678979724302e-07,-7.204779481059063e-09
