seq,recv_timestamp,recv_size,process_time,send_timestamp,send_size
70.0,1608063891.8558376,122.0,0.0005042552947998047,1608063891.8563418,72.0
71.0,1608063891.866798,122.0,0.0004284381866455078,1608063891.8672264,72.0
72.0,1608063891.8763335,122.0,0.0003085136413574219,1608063891.876642,72.0
73.0,1608063891.8858242,122.0,0.0003261566162109375,1608063891.8861504,72.0
74.0,1608063891.8961537,122.0,0.0002777576446533203,1608063891.8964314,72.0
75.0,1608063891.9067404,122.0,0.0003504753112792969,1608063891.907091,72.0
76.0,1608063891.916103,122.0,0.0002827644348144531,1608063891.9163857,72.0
77.0,1608063891.9263008,122.0,0.0005667209625244141,1608063891.9268675,72.0
78.0,1608063891.9362972,122.0,0.0003631114959716797,1608063891.9366603,72.0
79.0,1608063891.945914,122.0,0.0003807544708251953,1608063891.9462948,72.0
